Id,title,summary,number_of_installs,Average_rating,Ratings_recieved,Reviews_recieved,Ratings_histogram,price,developer_name,genre
com.shopify.mobile,Shopify - Your Ecommerce Store,Start your entrepreneurial story today and build an online store,12579927,4.3452916,35609,3432,"[3911, 595, 1154, 3551, 26384]",0,Shopify Inc.,Business
com.amazon.sellermobile.android,Amazon Seller,Grow and manage your selling business on Amazon with the Amazon Seller app.,24681160,4.045411,162090,13475,"[26069, 6010, 7720, 16946, 105327]",0,Amazon Mobile LLC,Business
com.ecwid.android,Ecwid Ecommerce,Your own e-commerce store is just a few taps away,681206,4.544304,7314,940,"[462, 88, 275, 644, 5829]",0,Ecwid by Lightspeed,Business
live.windo.seller,windo - create ecommerce store,Create an online store in 2-minutes & grow your business. Build ecommerce store.,232574,4.2613635,1530,39,"[208, 34, 52, 86, 1147]",0,windo - create online shop with online payments,Business
com.woocommerce.android,WooCommerce,"Manage orders, get sales notifications, and view key metrics — wherever you are.",910674,4.485849,27783,391,"[1958, 130, 1044, 3929, 20693]",0,"Automattic, Inc",Business
com.markaz.app,Markaz: Resell and Earn Money,"Drop Shipping, Start Business and Earn money, Online shopping, Cash Sent Daily",3036182,3.92,26905,64,"[5079, 752, 1505, 2822, 16368]",0,Markaz Technologies,Shopping
com.shopify.pos,Shopify Point of Sale (POS),"Point of sale, inventory system and cash register.",807275,2.920792,2146,430,"[848, 232, 148, 63, 848]",0,Shopify Inc.,Business
com.ec.ecdashboard,VBC by EC,VBC | Pakistan's Largest e-Commerce learning Platform.,194973,4.5882354,4983,21,"[390, 0, 97, 293, 4201]",0,Extreme Commerce,Education
com.alibaba.intl.android.apps.poseidon,Alibaba.com - B2B marketplace,A world-leading B2B marketplace,419080459,4.440375,2443039,42861,"[165379, 57469, 125758, 281655, 1812738]",0,Alibaba Mobile,Shopping
com.daraz.sellercenter,Daraz Seller Center,Manage and grow your business on Daraz directly from our mobile application!,3230707,4.45,22641,154,"[1804, 174, 1105, 2211, 17169]",0,Daraz Mobile,Shopping
com.wix.admin,Wix Owner - Website Builder,"Website builder & maker | Blog, portfolio & store creator | Get your domain name",5511487,4.2907867,52282,3701,"[6067, 898, 1751, 6571, 36977]",0,Wix,Productivity
com.dukaan.app,Dukaan - Start Selling Online,"Dukaan: Launch eCommerce store, start selling online & grow your business",6735685,3.9375,79641,29,"[18665, 1244, 0, 6221, 53508]",0,Dukaan - Digital Store App Made in India,Business
com.shappio.webx,Webx - Ecommerce Store Builder,Create your online ecommerce store in a few clicks and expand your business.,36276,3.625,255,8,"[31, 63, 0, 31, 127]",0,Webx Ecommerce,Business
com.ebay.mobile,eBay: Shop & sell in the app,"Get deals on vintage clothes, car parts, tech & more—all in one marketplace.",363361418,4.7067175,4715801,645038,"[159119, 34418, 83327, 476653, 3962274]",0,eBay Mobile,Shopping
com.shopify.ping,Shopify Inbox,"Sell over chat and talk with your customers, anytime anywhere.",306248,4.530303,5050,355,"[342, 111, 111, 418, 4054]",0,Shopify Inc.,Business
com.madeinchina.b2b.trade,Made-in-China B2B Trade Online,"Buy Products,Chinese Supplier,Wholesale Price,Global Trade Safely,Shopping Store",13632877,4.275281,28534,631,"[2874, 798, 2075, 2554, 20182]",0,Made-in-China.com LIMITED,Shopping
com.daraz.android,Daraz Online Shopping App,"Explore, Discover, Shop.",100017702,4.2687516,3555200,7556,"[314654, 119633, 261009, 459828, 2399883]",0,Daraz Mobile,Shopping
in.co.websites.websitesapp,Instant Website Builder App,"Instant Website Builder creates your website, eCommerce store & blog instantly",3206192,4.3411765,42291,642,"[4206, 475, 2228, 4957, 30347]",0,Websites.co.in: Websites Builder With Online Store,Business
co.quicksell.app,QuickSell Catalogue Commerce,Create your professional online shop in seconds and boost sales,1564941,3.99,12973,159,"[2594, 389, 259, 1037, 8691]",0,QuickSell Advanced Digital Catalog Maker,Business
com.weebly.android,Weebly by Square,"The freedom to launch & grow a unique online store or website anytime, anywhere.",3819284,4.2412176,92477,9571,"[9269, 2381, 5239, 15459, 60119]",0,"Weebly, Inc.",Productivity
com.amz4seller.app,tool4seller: Amazon Seller App,Track and manage the latest sales and profit of your Amazon business and more.,73864,3.9148936,225,21,"[43, 4, 19, 19, 138]",0,TAPCASH INC,Business
com.mailchimp.mailchimp,Mailchimp Email Marketing,"Create Email Campaigns, Manage Contacts, Publish Facebook Ads, Track Results",2970600,4.3632183,20721,1912,"[2094, 951, 425, 1095, 16144]",0,Mailchimp,Business
com.noon.buyerapp,noon shopping,Shop millions of authentic products & brands from the comfort of home.,39142761,3.5791247,519743,2765,"[150412, 13928, 21812, 50721, 282604]",0,Noon E commerce,Shopping
com.bigcommerce.mobile,BigCommerce,Take Your Business On-the-Go,50230,3.63,276,74,"[50, 27, 23, 33, 133]",0,BigCommerce Pty. Ltd.,Business
com.alibaba.aliexpresshd,AliExpress,Enjoy 3-10 workday delivery on selected items,668837138,4.4458423,14782936,162433,"[1143710, 237496, 487264, 1930016, 10984372]",0,Alibaba Mobile,Shopping
com.madeinchina.b2b.industry.trade,MachTop,Explore a Broader Spectrum of Industrial Suppliers.,196425,0.0,0,0,"[0, 0, 0, 0, 0]",0,Made-in-China.com LIMITED,Shopping
com.baya.bayaandroid,Baya - Small Business Website,Super simple website builder for small businesses. Make a website on your phone.,39426,3.7575758,232,16,"[42, 28, 7, 21, 133]",0,Baya,Productivity
com.banggood.client,Banggood - Online Shopping,Online shopping for daily deals & secure payment & fast shipping,51513545,4.7046103,412479,7072,"[15713, 5622, 7739, 26510, 356823]",0,Banggood,Shopping
com.ubuy,Ubuy: International Shopping,A Global Online Shopping Store to Get International Branded Products Delivered,1993364,3.46,8689,79,"[2753, 143, 321, 1036, 4326]",0,Ubuy Co.,Shopping
youcan.shop,YouCan,The ONLY solution you need to build your online store and scale your business.,167445,4.351852,1120,25,"[124, 20, 20, 124, 829]",0,YouCan.Shop,Shopping
